"date","usage","dollars","type"
"12:00AM 1st June 2025","0.25 kWh","$0.13","actual"
"01:00AM 1st June 2025","0.10 kWh","$0.08","actual"
"02:00AM 1st June 2025","0.22 kWh","$0.12","actual"
"03:00AM 1st June 2025","0.13 kWh","$0.09","actual"
"04:00AM 1st June 2025","0.19 kWh","$0.11","actual"
"05:00AM 1st June 2025","0.16 kWh","$0.10","actual"
"06:00AM 1st June 2025","0.12 kWh","$0.08","actual"
"07:00AM 1st June 2025","0.25 kWh","$0.13","actual"
"08:00AM 1st June 2025","0.09 kWh","$0.07","actual"
"09:00AM 1st June 2025","0.13 kWh","$0.09","actual"
"10:00AM 1st June 2025","0.10 kWh","$0.08","actual"
"11:00AM 1st June 2025","0.25 kWh","$0.13","actual"
"12:00PM 1st June 2025","0.17 kWh","$0.10","actual"
"01:00PM 1st June 2025","0.14 kWh","$0.09","actual"
"02:00PM 1st June 2025","0.16 kWh","$0.10","actual"
"03:00PM 1st June 2025","0.25 kWh","$0.13","actual"
"04:00PM 1st June 2025","0.16 kWh","$0.10","actual"
"05:00PM 1st June 2025","0.17 kWh","$0.10","actual"
"06:00PM 1st June 2025","0.15 kWh","$0.10","actual"
"07:00PM 1st June 2025","0.15 kWh","$0.10","actual"
"08:00PM 1st June 2025","0.19 kWh","$0.11","actual"
"09:00PM 1st June 2025","0.13 kWh","$0.09","actual"
"10:00PM 1st June 2025","0.21 kWh","$0.12","actual"
"11:00PM 1st June 2025","0.11 kWh","$0.08","actual"
